index,com_id,post_name,post_id,comnum,time_since_original_post,comp_sent_score,pos_sent_score,neg_sent_score,neu_sent_score,comment_date_utime,Company,post_date_utime,image_set,video,Media_Types,Edges,Luminosity,Number_of_Colors,standardized_time_since_post,BK,Converse,Jordan,LG,McDonalds,Nike,Samsung,Sony,Subway,Text_Image,continuous_thematic_episodic_5,C_Thematic,C_Episodic,making_continuous,C_Number_of_Colors,C_Luminosity,C_Edges,C_cont_no_col,ind_id,weekend,com_weekend,am_pm_quant,utime_convert,post_time_day,post_time_bin,cumulative_comp_score,stand_cumsum,commenter_cumsum,commenter_stand_cumsum,comment_cumsum_sent,stand_comment_cumsum_sent,stand_edges,post_lag_comment,ind_lag_comment,stand_comnum,comnum,scaled_prior_ind_sentiment,abs_comp_sent_score,cont_frame
45,9466,I_BK3,26,1,21426,0,0,0,1,1534449325,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.00037488,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,85053,0,0,1,43328.29028,0.290497685,2,9.7353,-0.205102146,0,-0.153417912,9.7353,-0.205102146,-0.055248663,0,0,-0.307849946,182,-0.975144473,0,1
46,9467,I_BK3,26,2,22177,0.4404,0.744,0,0.256,1534450076,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.00038802,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,56595,0,0,1,43328.29028,0.290497685,2,10.1757,-0.196946593,0.4404,-0.151012336,10.1757,-0.196946593,-0.055248663,0,0,-0.306092528,183,-0.974747754,44.04,1
47,9468,I_BK3,26,3,21515,0,0,0,1,1534449414,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.000376437,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,70651,0,0,1,43328.29028,0.290497685,2,10.1757,-0.196946593,0,-0.153417912,10.1757,-0.196946593,-0.055248663,0.4404,0,-0.30433511,184,-0.975144473,0,1
48,9469,I_BK3,26,4,20445,0.4588,0.339,0.177,0.484,1534448344,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.000357716,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,61518,0,0,1,43328.29028,0.290497685,2,10.6345,-0.188450299,0.4588,-0.150911831,10.6345,-0.188450299,-0.055248663,0,0,-0.302577692,185,-0.974731179,45.88,1
49,9470,I_BK3,26,5,19665,0,0,0,1,1534447564,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.000344069,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,44214,0,0,1,43328.29028,0.290497685,2,10.6345,-0.188450299,0,-0.153417912,10.6345,-0.188450299,-0.055248663,0.4588,0,-0.300820273,186,-0.975144473,0,1
50,9471,I_BK3,26,6,19572,0,0,0,1,1534447471,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.000342442,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,44820,0,0,1,43328.29028,0.290497685,2,10.6345,-0.188450299,0,-0.153417912,10.6345,-0.188450299,-0.055248663,0,0,-0.299062855,187,-0.975144473,0,1
51,9472,I_BK3,26,7,15238,0,0,0,1,1534443137,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.000266612,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,1077,0,0,1,43328.29028,0.290497685,2,10.6345,-0.188450299,0,-0.153417912,10.6345,-0.188450299,-0.055248663,0,0,-0.297305437,188,-0.975144473,0,1
52,9473,I_BK3,26,8,19285,0.2337,0.279,0,0.721,1534447184,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.00033742,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,21281,0,0,1,43328.29028,0.290497685,2,10.8682,-0.184122522,0.2337,-0.152141384,10.8682,-0.184122522,-0.055248663,0,0,-0.295548018,189,-0.974933952,23.37,1
53,9474,I_BK3,26,9,18948,0,0,0,1,1534446847,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.000331524,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,60617,0,0,1,43328.29028,0.290497685,2,10.8682,-0.184122522,0,-0.153417912,10.8682,-0.184122522,-0.055248663,0.2337,0,-0.2937906,190,-0.975144473,0,1
54,9475,I_BK3,26,10,18569,0.4019,0.73,0,0.27,1534446468,Burger_King,1534427899,1,0,Image,0.051638224,0.430429165,5,0.000324893,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,-0.392865318,-0.034041681,-0.000328448,0.851382168,1106,0,0,1,43328.29028,0.290497685,2,11.2701,-0.176679932,-0.1555,-0.154267292,11.2701,-0.176679932,-0.055248663,0,0,-0.292033182,191,-0.975284549,40.19,1
